selection1_name,selection1_url
"Rogue LeaderJan 8, 2019, 8:29 PM
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work
2. Ensure the Router's IP address is not within your DHCP range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses.
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Rogue LeaderJan 8, 2019, 8:29 PM
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work
2. Ensure the Router's IP address is not within your DHCP range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses.
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Rogue LeaderJan 8, 2019, 8:29 PM
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work
2. Ensure the Router's IP address is not within your DHCP range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses.
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Rogue LeaderJan 8, 2019, 8:29 PM",
Rogue Leader,
Rogue Leader,
"Jan 8, 2019, 8:29 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21659307
"Jan 8, 2019, 8:29 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21659307
"As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work
2. Ensure the Router's IP address is not within your DHCP range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses.
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Ann WelshJan 8, 2019, 8:52 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Had it too long for them to help",
"Ann WelshJan 8, 2019, 8:52 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Had it too long for them to help",
"Ann WelshJan 8, 2019, 8:52 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Had it too long for them to help",
"Ann WelshJan 8, 2019, 8:52 PM",
Ann Welsh,
Ann Welsh,
"Jan 8, 2019, 8:52 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21659350
"Jan 8, 2019, 8:52 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21659350
"Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.
Had it too long for them to help",
"Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
Rogue Leader said:,
Rogue Leader,
"As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work Done that and a week later did the same effing thing
2. Ensure the Router's IP address is not within your DHCP range not within range
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. It is as the device reconnect to the address they have had before
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Related Resources
Router connection/speed issue?
Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem
Issue from sharing internet connection from computer to router when the computer is turned off
router connection issue
Simple (!) 2 router connection issue",
Related Resources,
"solved Router connection/speed issue?
solved Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem
solved Issue from sharing internet connection from computer to router when the computer is turned off
solved router connection issue
solved Simple (!) 2 router connection issue",
"solved Router connection/speed issue?
solved Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem
solved Issue from sharing internet connection from computer to router when the computer is turned off
solved router connection issue
solved Simple (!) 2 router connection issue",
solved Router connection/speed issue?,
solved Router connection/speed issue?,http://www.tomshardware.com/answers/id-3500744/router-connection-speed-issue.html
solved,http://www.tomshardware.com/answers/id-3500744/router-connection-speed-issue.html
Router connection/speed issue?,http://www.tomshardware.com/answers/id-3500744/router-connection-speed-issue.html
solved Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem,
solved Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem,http://www.tomshardware.com/answers/id-3484321/connection-speed-issue-netgear-wireless-300-router-dsl-modem.html
solved,http://www.tomshardware.com/answers/id-3484321/connection-speed-issue-netgear-wireless-300-router-dsl-modem.html
Connection speed issue with Netgear Wireless-N 300 Router with DSL Modem,http://www.tomshardware.com/answers/id-3484321/connection-speed-issue-netgear-wireless-300-router-dsl-modem.html
solved Issue from sharing internet connection from computer to router when the computer is turned off,
solved Issue from sharing internet connection from computer to router when the computer is turned off,http://www.tomshardware.com/answers/id-3468178/issue-sharing-internet-connection-computer-router-computer-turned.html
solved,http://www.tomshardware.com/answers/id-3468178/issue-sharing-internet-connection-computer-router-computer-turned.html
Issue from sharing internet connection from computer to router when the computer is turned off,http://www.tomshardware.com/answers/id-3468178/issue-sharing-internet-connection-computer-router-computer-turned.html
solved router connection issue,
solved router connection issue,http://www.tomshardware.com/answers/id-3448443/router-connection-issue.html
solved,http://www.tomshardware.com/answers/id-3448443/router-connection-issue.html
router connection issue,http://www.tomshardware.com/answers/id-3448443/router-connection-issue.html
solved Simple (!) 2 router connection issue,
solved Simple (!) 2 router connection issue,http://www.tomshardware.com/answers/id-3316096/simple-router-connection-issue.html
solved,http://www.tomshardware.com/answers/id-3316096/simple-router-connection-issue.html
Simple (!) 2 router connection issue,http://www.tomshardware.com/answers/id-3316096/simple-router-connection-issue.html
"Can't find your answer ? Ask !
Get the answer",
Can't find your answer ? Ask !,
Get the answer,
Get the answer,
"Rogue LeaderJan 9, 2019, 7:14 AM
Ann Welsh said:
Had it too long for them to help
Again, please try what i suggested and reply directly to each step. If you don't do this I cannot help you.",
"Rogue LeaderJan 9, 2019, 7:14 AM
Ann Welsh said:
Had it too long for them to help
Again, please try what i suggested and reply directly to each step. If you don't do this I cannot help you.",
"Rogue LeaderJan 9, 2019, 7:14 AM
Ann Welsh said:
Had it too long for them to help
Again, please try what i suggested and reply directly to each step. If you don't do this I cannot help you.",
"Rogue LeaderJan 9, 2019, 7:14 AM",
Rogue Leader,
Rogue Leader,
"Jan 9, 2019, 7:14 AM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21660455
"Jan 9, 2019, 7:14 AM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21660455
"Ann Welsh said:
Had it too long for them to help
Again, please try what i suggested and reply directly to each step. If you don't do this I cannot help you.",
"Ann Welsh said:
Had it too long for them to help",
Ann Welsh said:,
Ann Welsh,
Had it too long for them to help,
"popatimJan 9, 2019, 2:19 PM
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
"popatimJan 9, 2019, 2:19 PM
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
"popatimJan 9, 2019, 2:19 PM
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
"popatimJan 9, 2019, 2:19 PM",
popatim,
popatim,
"Jan 9, 2019, 2:19 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21661785
"Jan 9, 2019, 2:19 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21661785
"Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
https://www.linksys.com/us/support-article?articleNum=148523,https://www.linksys.com/us/support-article?articleNum=148523
"Ann WelshJan 9, 2019, 6:41 PM
popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Last part says ""I have already updated the firmware. I was wondering what I could do to fix this issue.""",
"Ann WelshJan 9, 2019, 6:41 PM
popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Last part says ""I have already updated the firmware. I was wondering what I could do to fix this issue.""",
"Ann WelshJan 9, 2019, 6:41 PM
popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Last part says ""I have already updated the firmware. I was wondering what I could do to fix this issue.""",
"Ann WelshJan 9, 2019, 6:41 PM",
Ann Welsh,
Ann Welsh,
"Jan 9, 2019, 6:41 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662457
"Jan 9, 2019, 6:41 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662457
"popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523
Last part says ""I have already updated the firmware. I was wondering what I could do to fix this issue.""",
"popatim said:
Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
popatim said:,
popatim,
"Try Updating the Firmware.
https://www.linksys.com/us/support-article?articleNum=148523",
https://www.linksys.com/us/support-article?articleNum=148523,https://www.linksys.com/us/support-article?articleNum=148523
"Ann WelshJan 9, 2019, 6:42 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Ann WelshJan 9, 2019, 6:42 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Ann WelshJan 9, 2019, 6:42 PM
Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Ann WelshJan 9, 2019, 6:42 PM",
Ann Welsh,
Ann Welsh,
"Jan 9, 2019, 6:42 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662461
"Jan 9, 2019, 6:42 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662461
"Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Rogue Leader said:
As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
Rogue Leader said:,
Rogue Leader,
"As suggested to you in discord:
1. Reset all settings back to stock, follow the basic setup procedures, do not limit your IP addresses or anything else, let the router's DHCP do the work I HAVE ALREADY DONE THIS AND HAD THE SAME ISSUE
2. Ensure the Router's IP address is not within your DHCP range I HAVE CHECK IT IS NOT IN THE RANGE
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
4. You may not get an answer from someone who has used this router here before, it is worth contacting Linksys tech support. There is a possibility that the router has an unfixable issue, and will need to be warrantied or replaced.",
"Rogue LeaderJan 9, 2019, 8:28 PM
Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
Are you saying they are getting conflicting IP addresses?",
"Rogue LeaderJan 9, 2019, 8:28 PM
Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
Are you saying they are getting conflicting IP addresses?",
"Rogue LeaderJan 9, 2019, 8:28 PM
Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
Are you saying they are getting conflicting IP addresses?",
"Rogue LeaderJan 9, 2019, 8:28 PM",
Rogue Leader,
Rogue Leader,
"Jan 9, 2019, 8:28 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662647
"Jan 9, 2019, 8:28 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21662647
"Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS
Are you saying they are getting conflicting IP addresses?",
"Ann Welsh said:
3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS",
Ann Welsh said:,
Ann Welsh,
"3. If its still doing this, check the router's settings to ensure the router is releasing assigned IP addresses. THE DEVICE ARE BEING GIVING THE SAME IP ADDRESS",
"Ann WelshJan 11, 2019, 2:00 PM
No. Say device 1 has 1.111.1.101 and device two has .102 the issue happens unplug replug device one has 101 device two has 102",
"Ann WelshJan 11, 2019, 2:00 PM
No. Say device 1 has 1.111.1.101 and device two has .102 the issue happens unplug replug device one has 101 device two has 102",
"Ann WelshJan 11, 2019, 2:00 PM
No. Say device 1 has 1.111.1.101 and device two has .102 the issue happens unplug replug device one has 101 device two has 102",
"Ann WelshJan 11, 2019, 2:00 PM",
Ann Welsh,
Ann Welsh,
"Jan 11, 2019, 2:00 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668586
"Jan 11, 2019, 2:00 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668586
No. Say device 1 has 1.111.1.101 and device two has .102 the issue happens unplug replug device one has 101 device two has 102,
"Rogue LeaderJan 11, 2019, 2:12 PM
Ok at this point you need Linksys involved, it sounds like your router is defective.",
"Rogue LeaderJan 11, 2019, 2:12 PM
Ok at this point you need Linksys involved, it sounds like your router is defective.",
"Rogue LeaderJan 11, 2019, 2:12 PM
Ok at this point you need Linksys involved, it sounds like your router is defective.",
"Rogue LeaderJan 11, 2019, 2:12 PM",
Rogue Leader,
Rogue Leader,
"Jan 11, 2019, 2:12 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668612
"Jan 11, 2019, 2:12 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668612
"Ok at this point you need Linksys involved, it sounds like your router is defective.",
"Ann WelshJan 11, 2019, 4:05 PM
too old",
"Ann WelshJan 11, 2019, 4:05 PM
too old",
"Ann WelshJan 11, 2019, 4:05 PM
too old",
"Ann WelshJan 11, 2019, 4:05 PM",
Ann Welsh,
Ann Welsh,
"Jan 11, 2019, 4:05 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668922
"Jan 11, 2019, 4:05 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21668922
too old,
"Rogue LeaderJan 11, 2019, 5:33 PM
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
"Rogue LeaderJan 11, 2019, 5:33 PM
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
"Rogue LeaderJan 11, 2019, 5:33 PM
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
"Rogue LeaderJan 11, 2019, 5:33 PM",
Rogue Leader,
Rogue Leader,
"Jan 11, 2019, 5:33 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669147
"Jan 11, 2019, 5:33 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669147
"Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
"Ann Welsh said:
too old",
Ann Welsh said:,
Ann Welsh,
too old,
"Ann WelshJan 11, 2019, 6:12 PM
Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Not everyone can just go buy a new router aftyer less then having a router less then a year",
"Ann WelshJan 11, 2019, 6:12 PM
Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Not everyone can just go buy a new router aftyer less then having a router less then a year",
"Ann WelshJan 11, 2019, 6:12 PM
Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Not everyone can just go buy a new router aftyer less then having a router less then a year",
"Ann WelshJan 11, 2019, 6:12 PM",
Ann Welsh,
Ann Welsh,
"Jan 11, 2019, 6:12 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669295
"Jan 11, 2019, 6:12 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669295
"Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.
Not everyone can just go buy a new router aftyer less then having a router less then a year",
"Rogue Leader said:
Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
Rogue Leader said:,
Rogue Leader,
"Ann Welsh said:
too old
If their tech support hasn't responded, then maybe its time to consider a replacement, and a different brand. I use D-Link and have not had problems.",
"Ann Welsh said:
too old",
Ann Welsh said:,
Ann Welsh,
too old,
"Gam3r01Jan 11, 2019, 6:15 PM
Routers arent all that expensive.
But on a more important note, if that router is less than a year old then it is most certainly under warranty, which is default 1 year.",
"Gam3r01Jan 11, 2019, 6:15 PM
Routers arent all that expensive.
But on a more important note, if that router is less than a year old then it is most certainly under warranty, which is default 1 year.",
"Gam3r01Jan 11, 2019, 6:15 PM
Routers arent all that expensive.
But on a more important note, if that router is less than a year old then it is most certainly under warranty, which is default 1 year.",
"Gam3r01Jan 11, 2019, 6:15 PM",
Gam3r01,
Gam3r01,
"Jan 11, 2019, 6:15 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669305
"Jan 11, 2019, 6:15 PM",http://www.tomshardware.com/answers/id-3862316/connection-issue-router.html#r21669305
"Routers arent all that expensive.
But on a more important note, if that router is less than a year old then it is most certainly under warranty, which is default 1 year.",
"Ann WelshJan 11, 2019, 6:19 PM
been told it is not under anything",
